id;placed_date;status;code;customer_id
1;2023-02-21T05:49:36;COMPLETED;Electronics;1
2;2023-02-21T00:11:35;COMPLETED;payment PCI violet;2
3;2023-02-21T10:40:28;CANCELLED;background out-of-the-box withdrawal;1
4;2023-02-20T14:43:29;COMPLETED;Music real-time;1
5;2023-02-20T22:47:38;CANCELLED;Hat;2
6;2023-02-21T11:32:26;PENDING;solid navigating;2
7;2023-02-20T21:28:12;PENDING;Toys maroon;1
8;2023-02-21T10:17:46;COMPLETED;Developer;1
9;2023-02-20T17:46:10;COMPLETED;Credit Soft Cotton;2
10;2023-02-21T08:28:46;CANCELLED;contingency Bedfordshire;1
